name,website,phone,categories,state,moved
Alliant Pool Repair,http://alliantpoolrepair.localsearch.com,(858) 231-4581,"Swimming Pool Repair & Service, Swimming Pool Management, Public Swimming Pools",CA,False
Imperial Pool & Service,http://imperialpoolserviceca.localsearch.com,(831) 406-7564,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
Mike's Pools,http://mikespoolsca.localsearch.com,(530) 520-9467,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
Aquos Pools,http://aquospools.com,(209) 239-0077,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
Sc Pool & Spa,http://scpoolspa.localsearch.com,(949) 498-7665,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
Calaveras Pool Service,http://www.calaveraspoolservice.com,(209) 754-4925,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
K & D Quality Inc,http://kanddqualityinc.com,(408) 323-8275,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Kern Tech Pool Service of Bakersfield,http://www.bestpoolguys.com,(661) 378-1527,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Aqua Pura Pool Service,http://www.aquapurapoolservice.com,(209) 658-2991,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Reliable Pool Service,http://reliablepoolservice496720068.localsearch.com,(408) 807-0938,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Reliable Pool Care,http://reliablepools-sd.com,(858) 401-3419,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Pinnacle Pool and Spa Services,http://www.pinnaclepoolspa.com,(925) 849-6545,"Swimming Pool Repair & Service, Swimming Pool Management, Leak Detecting Service",CA,False
David's Pool Service,http://davidspoolserviceca.localsearch.com,(559) 759-4710,"Swimming Pool Repair & Service, Swimming Pool Management, Property Maintenance",CA,False
JNS Pools Service & Repair,http://jnspoolsservicerepair482033315.localsearch.com,(626) 840-3545,"Swimming Pool Repair & Service, Swimming Pool Management, Filter Cleaning",CA,False
Pool Tile Restoration,http://pooltilerestorationca.localsearch.com,(626) 487-0234,"Swimming Pool Repair & Service, Swimming Pool Management, Tile-Cleaning, Refinishing & Sealing",CA,False
Crystal Blue Pool Care,http://crystalbluepoolcareca.localsearch.com,(760) 792-6263,"Swimming Pool Repair & Service, Swimming Pool Management, Filter Cleaning",CA,False
JB's Pool Services,http://jbspoolservices.localsearch.com,(951) 237-8464,"Swimming Pool Repair & Service, Swimming Pool Management, Filter Cleaning",CA,False
Clean Water Solutions,http://www.cleanwatersolutionsca.com/conserving-water.htm,(661) 444-1303,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Chem Kings Pools & Spas Service,https://www.sacchemkings.com,(916) 893-6280,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Advanced Pool & Spa Service,http://www.advancedpoolandspa.org,(805) 581-1771,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",CA,False
Crystal Visions Pool Service,http://crystalvisionspoolserviceca.localsearch.com,(562) 889-0801,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Lifeguard Pool Service,http://lifeguardpoolservice.com,(559) 300-4837,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",CA,False
4 Seasons Pool Repair,http://4seasonspoolrepair.localsearch.com,(661) 817-4851,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",CA,False
Lowdermilk Pool Service,N/A,(661) 414-2666,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
All Pure Pool Service,http://www.allpurepools.com,(559) 442-3273,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Anchor Pool Service & Repair,http://anchorpoolservicerepair.localsearch.com,(760) 941-6024,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Prism Pool Supplies,http://myyp.com/sms,(530) 574-1406,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Matt Eno Pool Service,http://mattspool.com,(951) 788-5648,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Advanced Pool & Spa Service,http://advancedpoolspaservice460697770.localsearch.com,(310) 456-5246,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Pool Tech,http://pooltech461513384.localsearch.com,(805) 705-6262,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",CA,False
Rodriguez Pool Service,N/A,(209) 725-9458,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Waterline Pool Services,http://waterlinepoolservices.com,(805) 404-9410,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Imperial Pool & Service,http://imperialpoolserviceca.localsearch.com,(831) 406-7564,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
Leo's Pool Service,http://leospoolservice462471639.localsearch.com,(951) 741-6475,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Clearwater pools,http://clearwaterpools462644544.localsearch.com,(858) 344-3747,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
K & D Quality Inc,http://kanddqualityinc.com,(408) 323-8275,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Kern Tech Pool Service of Bakersfield,http://www.bestpoolguys.com,(661) 378-1527,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Aqua Pura Pool Service,http://www.aquapurapoolservice.com,(209) 658-2991,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Reliable Pool Service,http://reliablepoolservice496720068.localsearch.com,(408) 807-0938,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Reliable Pool Care,http://reliablepools-sd.com,(858) 401-3419,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Pinnacle Pool and Spa Services,http://www.pinnaclepoolspa.com,(925) 849-6545,"Swimming Pool Repair & Service, Swimming Pool Management, Leak Detecting Service",CA,False
VH Pools,http://vhpools.localsearch.com,(559) 280-8780,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
The Pool Guy,http://thepoolguy503953413.localsearch.com,(916) 966-7665,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
NorCal Pool Service,http://norcalpoolserviceca.localsearch.com,(925) 549-6801,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Pool Service Inc.,http://poolserviceinc531874026.localsearch.com,(530) 671-4595,"Swimming Pool Repair & Service, Swimming Pool Management, Chlorine",CA,False
Aqua Bay Pools,http://aquabaypools.localsearch.com,(925) 813-4639,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Gary's Pool Service,http://www.garyspoolservicesonoma.com,(707) 981-4886,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs",CA,False
Crystal Clear Pool Service,http://www.crystalclearpoolspa.com,(415) 258-8188,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs",CA,False
Clean Water Solutions,http://www.cleanwatersolutionsca.com/conserving-water.htm,(661) 444-1303,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Crystal Visions Pool Service,http://crystalvisionspoolserviceca.localsearch.com,(562) 889-0801,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Lowdermilk Pool Service,N/A,(661) 414-2666,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Anchor Pool Service & Repair,http://anchorpoolservicerepair.localsearch.com,(760) 941-6024,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Matt Eno Pool Service,http://mattspool.com,(951) 788-5648,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Waterline Pool Services,http://waterlinepoolservices.com,(805) 404-9410,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Swimming Pool Service & Repair,http://swimmingpoolservicerepairca.localsearch.com,(818) 446-6363,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Swimming Pool Repair & Service,http://swimmingpoolrepairserviceca.localsearch.com,(818) 646-6363,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Pool Repair & Service,http://poolrepairservice.localsearch.com,(818) 962-0022,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Pool Water Specialist,http://poolwaterspecialists.com,(818) 834-9141,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
PoolTenders pool service,http://pooltenderspoolservice.localsearch.com,(626) 858-5705,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",CA,False
Temecula Pool Service - Dave's Pool Service,http://www.temecula-pool-service.com,(951) 972-9759,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",CA,False
A Plus Swimming Pool,http://aplusswimmingpool.localsearch.com,(909) 802-4328,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",CA,False
YPS Pool Services,http://ypspoolservices.localsearch.com,(626) 228-7394,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Dr. Pool and Spa Service,http://drpoolandspaservice.localsearch.com,(310) 738-7555,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Pro Care Pool Service,http://procarepoolservice.localsearch.com,(760) 814-1818,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Modern Pools & Spas,http://modernpoolsspas.localsearch.com,(661) 978-4925,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Wetworks Pool Care,http://www.wetworkspoolcare.com,(951) 733-4330,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
VH Pools,http://vhpools.localsearch.com,(559) 280-8780,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
FIRST CHOICE POOL & SPA BUILDERS,http://firstchoicepoolspabuilders.localsearch.com,(626) 327-1562,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",CA,False
Gar.sak Swimming Pool Service,http://garsakswimmingpoolservice.localsearch.com,(818) 521-0600,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
SouthWest Pool & Spa Repair,http://southwestpoolsparepairca.localsearch.com,(702) 444-4081,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Omars Pool Service,http://www.omarspoolservice.com,(760) 844-3081,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Aqua Pool & Spa Center,http://aquapoolcenter.com,(858) 385-0837,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
SPATLESS POOL'S,http://spatlesspools.localsearch.com,(949) 510-9106,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",CA,False
SC POOL TECHS INC,http://scpooltechsinc.localsearch.com,(949) 235-1261,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Aquos Pools,http://aquospools.com,(209) 239-0077,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
Aqua Bay Pools,http://aquabaypools.localsearch.com,(925) 813-4639,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Aqua Creations,http://www.aquacreations.com,(805) 672-1695,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Blue Waters Pool Services Rancho Cucamonga,https://bluewaterspoolservices.com/rancho-cucamonga,(909) 451-9070,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Gary's Pool Service,http://www.garyspoolservicesonoma.com,(707) 981-4886,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs",CA,False
Mac's Pool and Spa Supply,http://www.macspoolsinc.com,(661) 255-5468,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Alfredo's Pool Cleaning Services,N/A,(559) 780-1126,Swimming Pool Management,CA,False
Mikey's Pool Tile Cleaning and Handyman Services LLC,http://mikeyspooltilecleaningandhandymanservicesllc.localsearch.com,(559) 908-8204,"Swimming Pool Management, Handyman Services, Private Swimming Pools",CA,False
Jerry's Pool Service,http://acampopoolservice.com,(209) 747-4953,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
CalSun Pool Care,http://www.calsunpoolcare.com,(916) 220-3093,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Dino's Surf N Turf,http://dinossurfnturf.localsearch.com,(916) 459-7355,"Swimming Pool Repair & Service, Swimming Pool Management, Landscaping & Lawn Services",CA,False
AA Home Service,http://aahomeservice.localsearch.com,(559) 592-2977,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Aco's Pool and Spa Services,https://www.facebook.com/AcosPoolAndSpaService,(760) 608-4244,"Swimming Pool Repair & Service, Swimming Pool Management, Home Repair & Maintenance",CA,False
TruBlue Pool Service,http://trubluepoolservice.localsearch.com,(916) 801-6465,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Holiday Pool Service Maintenance & Repair,http://holidaypoolservicemaintenancerepair.localsearch.com,(661) 589-5899,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
Polar Pool Service,http://polarpoolservice.localsearch.com,(707) 447-6656,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
"Poolsafe, Inc.",http://poolsafeinc.localsearch.com,(866) 245-8219,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Clear Choice Pool Service,http://clearchoicepoolservice504803450.localsearch.com,(559) 259-6000,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
American Pool Experts,http://americanpoolexperts.localsearch.com,(916) 417-1727,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Nicholas Alexander Sena Pool Service and Maintenance,http://nicholasalexandersenapoolserviceandmaintenance.localsearch.com,(818) 224-8170,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Advanced Swimming Pools Repair & Service,http://advancedswimmingpoolsrepairserviceca.localsearch.com,(760) 221-4684,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",CA,False
Cooksey's Lifeguard Company Inc.,http://www.cookseyswim.com,(731) 617-9461,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Instruction",CA,False
CalSun Pool Care,http://www.calsunpoolcare.com,(916) 220-3093,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Clearwater Pool Care,http://clearwaterpoolcare472518776.localsearch.com,(619) 917-6971,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Dino's Surf N Turf,http://dinossurfnturf.localsearch.com,(916) 459-7355,"Swimming Pool Repair & Service, Swimming Pool Management, Landscaping & Lawn Services",CA,False
AA Home Service,http://aahomeservice.localsearch.com,(559) 592-2977,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Aco's Pool and Spa Services,https://www.facebook.com/AcosPoolAndSpaService,(760) 608-4244,"Swimming Pool Repair & Service, Swimming Pool Management, Home Repair & Maintenance",CA,False
TruBlue Pool Service,http://trubluepoolservice.localsearch.com,(916) 801-6465,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Holiday Pool Service Maintenance & Repair,http://holidaypoolservicemaintenancerepair.localsearch.com,(661) 589-5899,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
Polar Pool Service,http://polarpoolservice.localsearch.com,(707) 447-6656,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
"Poolsafe, Inc.",http://poolsafeinc.localsearch.com,(866) 245-8219,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Clear Choice Pool Service,http://clearchoicepoolservice504803450.localsearch.com,(559) 259-6000,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
American Pool Experts,http://americanpoolexperts.localsearch.com,(916) 417-1727,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Nicholas Alexander Sena Pool Service and Maintenance,http://nicholasalexandersenapoolserviceandmaintenance.localsearch.com,(818) 224-8170,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Advanced Swimming Pools Repair & Service,http://advancedswimmingpoolsrepairserviceca.localsearch.com,(760) 221-4684,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",CA,False
R&F Pool Services,https://swimmingpoolca.com,(951) 269-3723,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",CA,False
Quality Pool Service,http://qualitypoolservice526351737.localsearch.com,(559) 592-4330,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
"Bay Area Pools, Inc.",http://bayareapools.net,(650) 347-7516,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
A and W Pool Service,http://aandwpoolservice.localsearch.com,(209) 239-5579,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Crystal Pool Service Los Angeles,https://www.crystalpoolservicelosangeles.com,(310) 570-0091,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Central OC Pools,http://centralocpools.com,(949) 939-5397,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
Montego Hoa,http://montegohoa.localsearch.com,(818) 597-1182,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Colonial Pools,http://www.theoriginalcolonialpools.com,(925) 625-3390,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
Temecula Pure Pool Heating,http://pwrpurepools.com,(951) 223-6081,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Blue Diamond Pools & Spas,http://www.bluediamondpoolsandspas.com,(661) 330-3284,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
Coastal Pool Services,http://www.coastalpoolsb.com,(805) 317-4117,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
B P Maintenance Inc.,N/A,(805) 377-6303,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
14840 Mayall St,http://14840mayallst.localsearch.com,(818) 337-3080,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
Aguilar Pool Service,http://aguilarpoolsvc.com,(760) 418-0956,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Orange County Pool Service,http://orangecountypoolsvc.com,(714) 865-4089,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Blue Water Pool Care CA,http://bluewaterpoolcareca.com,(323) 435-0642,"Swimming Pool Repair & Service, Swimming Pool Management, Home Improvements",CA,False
Sunbrite Pools,http://www.sunbritepools.com,(949) 668-1000,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies-Wholesale & Manufacturers",CA,False
Pool Service & Maintenance Professionals,http://www.werepairpools.com,(888) 587-7459,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
JC's Pool Service,N/A,(714) 791-6994,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",CA,False
1 Stop Pool Pros,http://1stoppoolpros.localsearch.com,(714) 281-5160,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Blue Bottom Pools,http://bluebottompools.localsearch.com,(805) 453-1703,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
AA Home Service,http://aahomeservice.localsearch.com,(559) 592-2977,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Uber Pools,http://uberpools.localsearch.com,(619) 672-2660,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Antelope Valley Pool and Spa Care,http://antelopevalleypoolandspacare.localsearch.com,(661) 349-5984,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
The Chlorinator,http://thechlorinator.localsearch.com,(626) 622-1448,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",CA,False
Desert Sun Pool Service,http://desertsunpoolservice.localsearch.com,(760) 905-1663,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",CA,False
Crystal Bright Pools,http://crystalbrightpools.localsearch.com,(760) 905-1663,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies-Wholesale & Manufacturers",CA,False
Oasis Pool Company,http://www.facebook.com/oasispoolcompany,(951) 282-7665,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Aco's Pool and Spa Services,https://www.facebook.com/AcosPoolAndSpaService,(760) 608-4244,"Swimming Pool Repair & Service, Swimming Pool Management, Home Repair & Maintenance",CA,False
Mountain Springs Pool Service,http://mountainspringspoolservice.localsearch.com,(951) 750-3442,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
All Star Pools,http://www.allstarpools.org,(562) 556-5269,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Mountain View Pool Service,http://www.mvpoolservice.com,(855) 437-0430,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
TruBlue Pool Service,http://trubluepoolservice.localsearch.com,(916) 801-6465,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Holiday Pool Service Maintenance & Repair,http://holidaypoolservicemaintenancerepair.localsearch.com,(661) 589-5899,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
Polar Pool Service,http://polarpoolservice.localsearch.com,(707) 447-6656,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Nicholas Alexander Sena Pool Service and Maintenance,http://nicholasalexandersenapoolserviceandmaintenance.localsearch.com,(818) 224-8170,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
James pool,http://jamespool.localsearch.com,(714) 625-9393,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Over The Edge Pools,http://overtheedgepools.localsearch.com,(619) 379-3343,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",CA,False
1st Choice Pool Service,http://yellowpages.com/rancho-santa-margarita-ca/mip/1st-choice-pool-service-5080793,(949) 709-8147,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",CA,False
Swimming Pool Management,https://www.poolspecialists.com,(626) 359-0180,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",CA,False
